Paper ID,Section,Parameter,Value,,
XDistillation (2021),IV. Experimental Evaluation,AUC,N/A,,
XDistillation (2021),IV. Experimental Evaluation,F1-Score,N/A,,
XDistillation (2021),IV. Experimental Evaluation,Other Results,Explanation consistency (GradCAM overlap) improved by ~6%.,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),Model Size (MB),Reduced (Teacher VGG16 to Student VGG7).,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),Parameters (M),Teacher: 14.7M -> Student: 3.5M (Significant compression).,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),FLOPs (G),Not reported.,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),Inference Time (ms),Not reported.,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),Compression Techniques Used,Knowledge Distillation (KD).,,
XDistillation (2021),V. Efficiency Metrics (PIN-Lite Specific),Edge Deployment Discussed,Implied (focus on lightweight/low computing resources).,,
XDistillation (2021),VI. Critical Analysis,Strengths,"Transfers ""reasoning"" not just probability; Improves student accuracy over standard KD.",,
XDistillation (2021),VI. Critical Analysis,Drawbacks & Limitations,Requires training auxiliary CAE; Evaluated on simple datasets (CIFAR/MNIST) not Deepfakes.,,
XDistillation (2021),VI. Critical Analysis,Future Work,N/A,,
XDistillation (2021),VII. Relevance to PIN-Lite,Comparison Points,Directly relevant for Model Compression (KD).,,
XDistillation (2021),VII. Relevance to PIN-Lite,Key Differences from Our Approach,Uses generative approach (CAE) to approximate explanations.,,
XDistillation (2021),VII. Relevance to PIN-Lite,Citation Context,Methodology for compressing models while retaining interpretability.,,
e2KD (2024),I. Publication Details,Paper Title,Good Teachers Explain: Explanation-Enhanced Knowledge Distillation,,
e2KD (2024),I. Publication Details,Authors,"Amin Parchami-Araghi, Moritz Böhle, Sukrut Rao, Bernt Schiele",,
e2KD (2024),I. Publication Details,Publication Year,"2024 (arXiv), 2022 (CVPR)",,
e2KD (2024),I. Publication Details,Publication Venue,CVPR (Conference on Computer Vision and Pattern Recognition),,
e2KD (2024),I. Publication Details,Type of Paper,Conference Paper,,
e2KD (2024),II. Research Overview,Core Idea / Contribution,e²KD: Forces student explanations (GradCAM/B-cos) to match Teacher's using a cosine similarity loss.,,
e2KD (2024),II. Research Overview,Problem Addressed,Students in KD often learn different input features than teachers (e.g.,background vs object),leading to poor OOD generalization.
e2KD (2024),II. Research Overview,Key Findings,"e²KD improves accuracy, student-teacher agreement, and robustness to limited data/distribution shifts.",,
e2KD (2024),III. Technical Deep Dive,Proposed Method Name,e²KD (Explanation-Enhanced Knowledge Distillation),,
e2KD (2024),III. Technical Deep Dive,Architecture,Teacher (ResNet34/50/DenseNet) -> Student (ResNet18/ViT).,,
e2KD (2024),III. Technical Deep Dive,Video Encoder,ResNet / ViT / DenseNet (Image models).,,
e2KD (2024),III. Technical Deep Dive,Audio Encoder,N/A,,
e2KD (2024),III. Technical Deep Dive,Fusion Mechanism,Loss-based fusion (Logit Loss + Explanation Similarity Loss).,,
e2KD (2024),III. Technical Deep Dive,Loss Function(s),KL Divergence (KD) + Cosine Similarity (Explanation Loss).,,
e2KD (2024),IV. Experimental Evaluation,Training Datasets,ImageNet,Waterbirds,Pascal VOC.
e2KD (2024),IV. Experimental Evaluation,Testing Datasets,ImageNet,Waterbirds (OOD).,
e2KD (2024),IV. Experimental Evaluation,Evaluation Metrics,Top-1 Accuracy,Teacher-Student Agreement (%).,
e2KD (2024),IV. Experimental Evaluation,Accuracy,71.8% (ImageNet ResNet18 Student) vs 69.8% (Baseline).,,
e2KD (2024),IV. Experimental Evaluation,AUC,N/A,,
e2KD (2024),IV. Experimental Evaluation,F1-Score,N/A,,
e2KD (2024),IV. Experimental Evaluation,Other Results,High robustness on limited data (50 shots: +5.1% acc gain over vanilla KD).,,
e2KD (2024),V. Efficiency Metrics (PIN-Lite Specific),Model Size (MB),Compressed (Teacher -> Student).,,
e2KD (2024),V. Efficiency Metrics (PIN-Lite Specific),Parameters (M),ResNet34 (~21M) -> ResNet18 (~11M).,,
e2KD (2024),V. Efficiency Metrics (PIN-Lite Specific),FLOPs (G),Reduced (Student is lighter).,,
e2KD (2024),V. Efficiency Metrics (PIN-Lite Specific),Inference Time (ms),Not reported.,,
e2KD (2024),V. Efficiency Metrics (PIN-Lite Specific),Compression Techniques Used,Knowledge Distillation (KD).,,
e2KD (2024),V. Efficiency Metrics (PIN-Lite Specific),Edge Deployment Discussed,Implied (Model Compression focus).,,
e2KD (2024),VI. Critical Analysis,Strengths,"Model-agnostic; Parameter-free addition; Improves ""Right for Right Reasons"".",,
e2KD (2024),VI. Critical Analysis,Drawbacks & Limitations,"Computational cost of generating explanations during training (mitigated by """"frozen"""" explanations).",,
e2KD (2024),VI. Critical Analysis,Future Work,N/A,,
e2KD (2024),VII. Relevance to PIN-Lite,Comparison Points,Excellent technique for ensuring a lightweight PIN-Lite model retains the robustness of a heavy teacher.,,
e2KD (2024),VII. Relevance to PIN-Lite,Key Differences from Our Approach,Focuses on explanation consistency rather than just accuracy.,,
e2KD (2024),VII. Relevance to PIN-Lite,Citation Context,Key reference for robust model compression/distillation.,,
,,,,,
,,,,,
,,,,,
Section,Parameter,Value,,,
I. Publication Details,Paper Title,AV-Lip-Sync+: Leveraging AV-HuBERT to Exploit Multimodal Inconsistency for Deepfake Detection of Frontal Face Videos,,,
I. Publication Details,Authors,"Sahibzada Adil Shahzad, Ammarah Hashmi, Yan-Tsung Peng, Yu Tsao, Hsin-Min Wang",,,
I. Publication Details,Publication Year,2025,,,
I. Publication Details,Publication Venue,IEEE Transactions on Human-Machine Systems (THMS),,,
I. Publication Details,Type of Paper,Journal Article,,,
II. Research Overview,Core Idea / Contribution,"Proposes a multimodal deepfake detection method using SSL pre-trained AV-HuBERT to exploit audio-visual inconsistencies, enhanced by a Video Vision Transformer (ViViT) for facial artifacts.",,,
II. Research Overview,Problem Addressed,"Detection of high-quality multimodal deepfakes where unimodal detectors fail, specifically focusing on synchronization between lip movements and speech.",,,
II. Research Overview,Key Findings,The model achieves state-of-the-art performance on FakeAVCeleb (99.29%) and DeepfakeTIMIT. Adding the face encoder (ViViT) significantly improves detection of visual-only manipulations like Faceswap.,,,
III. Technical Deep Dive,Proposed Method Name,AV-Lip-Sync+ (and AV-Lip-Sync+ with FE),,,
III. Technical Deep Dive,Architecture,AV-HuBERT (Visual & Acoustic feature extraction) + ResNet-18 (Lip features) + Transformer Encoder + MS-TCN + ViViT (Face Encoder),,,
III. Technical Deep Dive,Video Encoder,"ResNet-18 (Lip), ViViT (Full Face)",,,
III. Technical Deep Dive,Audio Encoder,"AV-HuBERT (Shared SSL model), FFN for acoustic features",,,
III. Technical Deep Dive,Fusion Mechanism,Concatenation of AV-HuBERT embeddings and Sync-Check module outputs; Late fusion with ViViT features.,,,
III. Technical Deep Dive,Loss Function(s),Cross-Entropy Loss,,,
IV. Experimental Evaluation,Training Datasets,FakeAVCeleb (balanced with VoxCeleb1 real videos),,,
IV. Experimental Evaluation,Testing Datasets,"FakeAVCeleb (various subsets), DeepfakeTIMIT",,,
IV. Experimental Evaluation,Evaluation Metrics,"Precision, Recall, F1-score, Accuracy, AUC",,,
IV. Experimental Evaluation,Accuracy,99.29% (FakeAVCeleb Test-set-2),,,
IV. Experimental Evaluation,AUC,99.98% (DeepfakeTIMIT HQ),,,
IV. Experimental Evaluation,F1-Score,99.28% (FakeAVCeleb),,,
IV. Experimental Evaluation,Other Results,Robust against partial occlusion and cross-dataset generalization.,,,
V. Efficiency Metrics (PIN-Lite Specific),Model Size (MB),Not Reported,,,
V. Efficiency Metrics (PIN-Lite Specific),Parameters (M),"132.85M (Base), 249.37M (with Face Encoder)",,,
V. Efficiency Metrics (PIN-Lite Specific),FLOPs (G),Not Reported,,,
V. Efficiency Metrics (PIN-Lite Specific),Inference Time (ms),"70ms (Base), 140ms (with Face Encoder) per video sample on RTX 2080 Ti",,,
V. Efficiency Metrics (PIN-Lite Specific),Compression Techniques Used,None (Uses large pre-trained SSL models),,,
V. Efficiency Metrics (PIN-Lite Specific),Edge Deployment Discussed,No (Implies high computational cost),,,
VI. Critical Analysis,Strengths,"High accuracy, effectively handles multimodal inconsistency, robust to specific manipulation types (Faceswap) due to added face encoder.",,,
VI. Critical Analysis,Drawbacks & Limitations,"High parameter count (approx 250M), relies on computationally expensive Transformers (ViViT, AV-HuBERT). Requires frontal faces.",,,
VI. Critical Analysis,Future Work,Improving generalizability in multimodal settings.,,,
VII. Relevance to PIN-Lite,Comparison Points,High-performance baseline that likely requires compression (pruning/quantization) for PIN-Lite objectives.,,,
VII. Relevance to PIN-Lite,Key Differences from Our Approach,Focuses on maximizing accuracy via large SSL models rather than efficiency/compression.,,,
VII. Relevance to PIN-Lite,Citation Context,Example of SOTA multimodal detection requiring heavy compute.,,,
,,,,,
I. Publication Details,Paper Title,"Honey, I Shrunk the Language Model: Impact of Knowledge Distillation Methods on Performance and Explainability",,,
I. Publication Details,Authors,"Daniel Hendriks, Philipp Spitzer, Niklas Kühl, Gerhard Satzger",,,
I. Publication Details,Publication Year,2025,,,
I. Publication Details,Publication Venue,IEEE Journal (Journal of LaTeX Class Files),,,
I. Publication Details,Type of Paper,Journal Article,,,
II. Research Overview,Core Idea / Contribution,"Systematic comparison of Knowledge Distillation (KD) methods for LLMs, introducing 'critique-revision prompting' for data generation and combining multitask with counterfactual training.",,,
II. Research Overview,Problem Addressed,Deploying reasoning capabilities of LLMs in resource-constrained environments while maintaining performance and explainability.,,,
II. Research Overview,Key Findings,Multitask training yields best performance. Critique-revision prompting improves explainability (quality of explanations) but not necessarily accuracy. Small models (T5) can rival larger teachers (PaLM) if trained well.,,,
III. Technical Deep Dive,Proposed Method Name,Critique-Revision Prompting + Multitask/Counterfactual Training,,,
III. Technical Deep Dive,Architecture,"Teacher: LLaMA-2-13B. Student: T5-base, T5-large",,,
III. Technical Deep Dive,Video Encoder,N/A (NLP Paper),,,
III. Technical Deep Dive,Audio Encoder,N/A (NLP Paper),,,
III. Technical Deep Dive,Fusion Mechanism,N/A,,,
III. Technical Deep Dive,Loss Function(s),"Combined loss: L_answer + L_explanation (Multitask), plus Counterfactual loss components.",,,
IV. Experimental Evaluation,Training Datasets,Commonsense Question Answering (CQA),,,
IV. Experimental Evaluation,Testing Datasets,Commonsense Question Answering (CQA),,,
IV. Experimental Evaluation,Evaluation Metrics,"Accuracy, Human-grounded explainability (Plausibility, Understandability, Completeness, etc.)",,,
IV. Experimental Evaluation,Accuracy,~60-75% range (Visual estimation from plots),,,
IV. Experimental Evaluation,AUC,N/A,,,
IV. Experimental Evaluation,F1-Score,N/A,,,
IV. Experimental Evaluation,Other Results,Critique-revision improved 'Completeness' and 'Contrastiveness' of explanations in human study.,,,
V. Efficiency Metrics (PIN-Lite Specific),Model Size (MB),Not Reported,,,
V. Efficiency Metrics (PIN-Lite Specific),Parameters (M),"220M (T5-base), 770M (T5-large)",,,
V. Efficiency Metrics (PIN-Lite Specific),FLOPs (G),Not Reported,,,
V. Efficiency Metrics (PIN-Lite Specific),Inference Time (ms),Not Reported (Focus on training time/convergence),,,
V. Efficiency Metrics (PIN-Lite Specific),Compression Techniques Used,"Knowledge Distillation (Teacher-Student), Small Architectures (T5)",,,
V. Efficiency Metrics (PIN-Lite Specific),Edge Deployment Discussed,"Yes, explicitly motivated by edge devices/mobile phones.",,,
VI. Critical Analysis,Strengths,Human-grounded evaluation of explainability. Novel data generation prompting strategy. Detailed statistical analysis of training methods.,,,
VI. Critical Analysis,Drawbacks & Limitations,Evaluation limited to one dataset (CQA). Critique-revision increased sequence length without boosting accuracy.,,,
VI. Critical Analysis,Future Work,"Apply to other tasks/datasets, combine with other compression methods.",,,
VII. Relevance to PIN-Lite,Comparison Points,Directly addresses 'Shrinking' models (KD) while maintaining capability (PIN-Lite core goal).,,,
VII. Relevance to PIN-Lite,Key Differences from Our Approach,"Focuses on NLP/Reasoning rather than Vision/Deepfake, but KD principles transfer.",,,
VII. Relevance to PIN-Lite,Citation Context,"Reference for KD methodologies and trade-offs between size, performance, and explainability.",,,
,,,,,
I. Publication Details,Paper Title,A Brief Review for Compression and Transfer Learning Techniques in DeepFake Detection,,,
I. Publication Details,Authors,"Andreas Karathanasis, John Violos, Ioannis Kompatsiaris, Symeon Papadopoulos",,,
I. Publication Details,Publication Year,2025,,,
I. Publication Details,Publication Venue,arXiv / Conference (implied),,,
I. Publication Details,Type of Paper,Review / Experimental Paper,,,
II. Research Overview,Core Idea / Contribution,"Investigates combining compression (Pruning, KD, Quantization) with Transfer Learning for Deepfake detection on edge devices.",,,
II. Research Overview,Problem Addressed,Deepfake detectors are too heavy for edge computing. Need to reduce size/latency without losing accuracy or generalization.,,,
II. Research Overview,Key Findings,90% compression is possible with preserved accuracy if training/testing data are from the same generator. Cross-generator performance drops significantly (domain generalization issue). KD often outperforms pruning.,,,
III. Technical Deep Dive,Proposed Method Name,"Comparative analysis of CPF, CKD, CQ, TL+FT, TL+KD, TL+Adapters, etc.",,,
III. Technical Deep Dive,Architecture,Base: VGG-like (4.5M params). Student models for KD.,,,
III. Technical Deep Dive,Video Encoder,VGG-based CNN,,,
III. Technical Deep Dive,Audio Encoder,N/A (Image only),,,
III. Technical Deep Dive,Fusion Mechanism,N/A,,,
III. Technical Deep Dive,Loss Function(s),Standard Cross-Entropy (implied for classification),,,
IV. Experimental Evaluation,Training Datasets,"Synthbuster, RAISE, ForenSynths (ProGAN)",,,
IV. Experimental Evaluation,Testing Datasets,"Synthbuster, ForenSynths (StarGAN, WhichFaceIsReal, DeepFake)",,,
IV. Experimental Evaluation,Evaluation Metrics,"Accuracy, F1-Score, Compression Time, Transfer Time",,,
IV. Experimental Evaluation,Accuracy,High (>90%) on same-domain; drops significantly on cross-domain.,,,
IV. Experimental Evaluation,AUC,Not Reported,,,
IV. Experimental Evaluation,F1-Score,Reported in plots (varies by compression rate),,,
